step,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,gripper_closed
461,0.5,0.16400000000000012,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
462,0.5,0.16600000000000012,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
463,0.5,0.16800000000000012,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
464,0.5,0.17000000000000012,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
465,0.5,0.17200000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
466,0.5,0.17400000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
467,0.5,0.17600000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
468,0.5,0.17800000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
469,0.5,0.18000000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
470,0.5,0.18200000000000013,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
471,0.5,0.18400000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
472,0.5,0.18600000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
473,0.5,0.18800000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
474,0.5,0.19000000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
475,0.5,0.19200000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
476,0.5,0.19400000000000014,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
477,0.5,0.19600000000000015,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
478,0.5,0.19800000000000015,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
479,0.5,0.20000000000000015,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
480,0.5,0.20200000000000015,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
481,0.5,0.20400000000000015,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
482,0.5,0.20600000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
483,0.5,0.20800000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
484,0.5,0.21000000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
485,0.5,0.21200000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
486,0.5,0.21400000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
487,0.5,0.21600000000000016,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
488,0.5,0.21800000000000017,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
